3/05/2021,-479.33,INTEREST CHARGES
26/04/2021,560,"PAYMENT RECEIVED, THANK YOU"
6/04/2021,543,"PAYMENT RECEIVED, THANK YOU"
1/04/2021,-20,LATE FEE
1/04/2021,-422.1,INTEREST CHARGES
4/03/2021,-438.45,INTEREST CHARGES
1/03/2021,600,"PAYMENT RECEIVED, THANK YOU"
4/02/2021,500,"PAYMENT RECEIVED, THANK YOU"
3/02/2021,-20,LATE FEE
3/02/2021,-455.11,INTEREST CHARGES
8/01/2021,-150,TELSTRA BILL PAYMNT      MELBOURNE   VIC
5/01/2021,700,"PAYMENT RECEIVED, THANK YOU"
4/01/2021,-20,LATE FEE
4/01/2021,-497.54,INTEREST CHARGES
21/12/2020,-395,PACKAGE ANNUAL FE
2/12/2020,-450.75,INTEREST CHARGES
26/11/2020,700,"PAYMENT RECEIVED, THANK YOU"
2/11/2020,-473.21,INTEREST CHARGES
26/10/2020,1000,"PAYMENT RECEIVED, THANK YOU"
2/10/2020,-475.53,INTEREST CHARGES
2/10/2020,-54,BUNNINGS 340000          TRARALGON
2/10/2020,-221.5,BUNNINGS 340000          TRARALGON
28/09/2020,700,"PAYMENT RECEIVED, THANK YOU"
4/09/2020,500,"PAYMENT RECEIVED, THANK YOU"
1/09/2020,-20,LATE FEE
1/09/2020,-454.57,INTEREST CHARGES
25/08/2020,700,"PAYMENT RECEIVED, THANK YOU"
3/08/2020,-20,LATE FEE
3/08/2020,-510.53,INTEREST CHARGES
16/07/2020,-20.75,LINKT MELBOURNE          MELBOURNE
9/07/2020,-69.99,TPG Internet PTY LTD     North Ryde  NSW
8/07/2020,-9.53,UBER   *TRIP             Sydney      AUS
5/07/2020,-60.01,7-ELEVEN 1301            MARIBYRNONG VIC
1/07/2020,-462.79,INTEREST CHARGES
29/06/2020,-250,Telstra Online Shop      MELBOURNE   VIC
26/06/2020,1000,"PAYMENT RECEIVED, THANK YOU"
25/06/2020,-25.18,LINKT MELBOURNE          MELBOURNE
24/06/2020,-32.64,LINKT MELBOURNE          MELBOURNE
9/06/2020,-69.99,TPG Internet PTY LTD     North Ryde  NSW
5/06/2020,-28.91,UBER TRIP HELP.UBER.CO   14518236738 AUS
1/06/2020,-20,LATE FEE
1/06/2020,-480.95,INTEREST CHARGES
28/05/2020,700,"PAYMENT RECEIVED, THANK YOU"
11/05/2020,-3.39,GOOGLE*KAKAO CORP        SYDNEY      AUS
9/05/2020,-69.99,TPG Internet PTY LTD     North Ryde  NSW
4/05/2020,139.78,INTEREST REFUND
1/05/2020,-467.17,INTEREST CHARGES
27/04/2020,600,"PAYMENT RECEIVED, THANK YOU"
23/04/2020,-20.89,UBER   *TRIP             Sydney      AUS
16/04/2020,-47.6,BREAD TOP                MARIBYRNONG VIC
13/04/2020,-97.69,COLES 7994               ASCOT VALE  AUS
9/04/2020,-69.99,TPG Internet PTY LTD     North Ryde  NSW
9/04/2020,-3.39,GOOGLE*KAKAO CORP        SYDNEY      AUS
9/04/2020,-3.39,GOOGLE*KAKAO CORP        SYDNEY      AUS
7/04/2020,-19.95,CHEMIST WAREHOUSE        MELBOURNE   VIC
7/04/2020,-131.58,CHEMIST WAREHOUSE        MELBOURNE   VIC
3/04/2020,-4,7-ELEVEN 1166            EAST MELBOURVIC
1/04/2020,-25,IINVOICE                 STRATHFIELD NSW
1/04/2020,-465.14,INTEREST CHARGES
30/03/2020,700,"PAYMENT RECEIVED, THANK YOU"
16/03/2020,-150.08,CHEMIST WAREHOUSE        MELBOURNE   VIC
9/03/2020,-69.99,TPG Internet PTY LTD     North Ryde  NSW
2/03/2020,-434.44,INTEREST CHARGES
1/03/2020,-25,IINVOICE                 STRATHFIELD NSW
27/02/2020,700,"PAYMENT RECEIVED, THANK YOU"
9/02/2020,-69.99,TPG Internet PTY LTD     North Ryde  NSW
9/02/2020,-69.06,CHEMIST WAREHOUSE        MELBOURNE   VIC
3/02/2020,-495.97,INTEREST CHARGES
1/02/2020,-25,IINVOICE                 STRATHFIELD NSW
28/01/2020,1000,"PAYMENT RECEIVED, THANK YOU"
19/01/2020,-600,HIGHPOINT MOWERS & C     MARIBYRNONG VIC
6/01/2020,-8.6,UBER   *TRIP             Sydney      AUS
3/01/2020,-99.99,TPG Internet PTY LTD     North Ryde  NSW
2/01/2020,-150,Boost Accessories        MELBOURNE   VIC
2/01/2020,-471.82,INTEREST CHARGES
1/01/2020,-25,IINVOICE                 STRATHFIELD NSW
27/12/2019,700,"PAYMENT RECEIVED, THANK YOU"
19/12/2019,-395,PACKAGE ANNUAL FE
10/12/2019,-24.41,UBER   *TRIP             Sydney      AUS
2/12/2019,-428.52,INTEREST CHARGES
2/12/2019,700,"PAYMENT RECEIVED, THANK YOU"
1/12/2019,-25,IINVOICE                 STRATHFIELD NSW
24/11/2019,-26.21,UBER   *TRIP             Sydney      AUS
4/11/2019,-503.79,INTEREST CHARGES
1/11/2019,-25,IINVOICE                 STRATHFIELD NSW
28/10/2019,1000,"PAYMENT RECEIVED, THANK YOU"
22/10/2019,-314.62,CHEMIST WAREHOUSE        MELBOURNE   VIC
18/10/2019,-25,IINVOICE                 STRATHFIELD NSW
17/10/2019,-26,IINVOICE                 STRATHFIELD NSW
12/10/2019,-29.24,PAYPAL *ZHUTINGMAOY      4029357733  AUS
12/10/2019,-53.58,PAYPAL *ZHUTINGMAOY      4029357733  AUS
9/10/2019,-499,PROUDS 119               MARIBYRNONG VIC
2/10/2019,-451.62,INTEREST CHARGES
26/09/2019,600,"PAYMENT RECEIVED, THANK YOU"
2/09/2019,-60.15,UBER   *TRIP             SYDNEY      NSW
2/09/2019,-23.39,UBER   *TRIP             SYDNEY      NSW
2/09/2019,-485.58,INTEREST CHARGES
31/08/2019,-29.53,UBER   *TRIP             SYDNEY      NSW
30/08/2019,-10,UBER   *TRIP             SYDNEY      NSW
30/08/2019,-10,UBER   *TRIP             SYDNEY      NSW
